"#%1: %2","#%1: %2"
"-- Not analyzed --","-- Not analyzed --"
"A bundle with a complementary product","A bundle with a complementary product"
"A cart is considered abandoned after this many hours without changes.","A cart is considered abandoned after this many hours without changes."
"A discount offer","A discount offer"
"A person should look at it before shipping","A person should look at it before shipping"
"A personal contact from sales","A personal contact from sales"
"A personal contact from the sales team","A personal contact from the sales team"
"A push or SMS notification","A push or SMS notification"
"A reminder email","A reminder email"
"A simple reminder","A simple reminder"
"AI Recommendation Readiness","AI Recommendation Readiness"
"AI Understanding","AI Understanding"
"AI Visibility","AI Visibility"
"API Key","API Key"
"Abandoned Cart","Abandoned Cart"
"Abandoned Carts","Abandoned Carts"
"Abandoned carts are analyzed by cron (every hour) because a cart changes too often to be analyzed on every save. Results appear in Reports > Marketing > Abandoned Carts.","Abandoned carts are analyzed by cron (every hour) because a cart changes too often to be analyzed on every save. Results appear in Reports > Marketing > Abandoned Carts."
"Acceptable","Acceptable"
"Action","Action"
"Add Attributes","Add Attributes"
"Add Images","Add Images"
"Add Order Comment","Add Order Comment"
"Add an internal order comment (not visible to the customer) when Jev recommends manual review, hold or reject.","Add an internal order comment (not visible to the customer) when Jev recommends manual review, hold or reject."
"Address","Address"
"Adequate","Adequate"
"Almost never buys without a coupon","Almost never buys without a coupon"
"Already out of stock or about to be","Already out of stock or about to be"
"An email with a coupon","An email with a coupon"
"An offer based on past purchases","An offer based on past purchases"
"An offer of free shipping","An offer of free shipping"
"Analyze Abandoned Carts","Analyze Abandoned Carts"
"Analyzed At","Analyzed At"
"Approve With Monitoring","Approve With Monitoring"
"Approve","Approve"
"Are the product data consistent with each other? Look for contradictions between the name, description, attributes, categories, price and special price.","Are the product data consistent with each other? Look for contradictions between the name, description, attributes, categories, price and special price."
"At Risk","At Risk"
"Attribute Completeness","Attribute Completeness"
"Attributes","Attributes"
"Availability","Availability"
"Average or new customer without notable signals","Average or new customer without notable signals"
"Bad or missing reviews","Bad or missing reviews"
"Based on the number of images and their labels, are there enough images to present this product properly?","Based on the number of images and their labels, are there enough images to present this product properly?"
"Best Sellers","Best Sellers"
"Billing or shipping address problems or mismatch","Billing or shipping address problems or mismatch"
"Both clear praise and clear complaints","Both clear praise and clear complaints"
"Bundle","Bundle"
"Buys at full price","Buys at full price"
"Buys rarely","Buys rarely"
"Buys with some regularity","Buys with some regularity"
"Can be published but some data should be improved","Can be published but some data should be improved"
"Cancel the order","Cancel the order"
"Cancellations, refunds or abuse","Cancellations, refunds or abuse"
"Cannot be sold properly in its current state","Cannot be sold properly in its current state"
"Carts per Cron Run","Carts per Cron Run"
"Category Accuracy","Category Accuracy"
"Category","Category"
"Change Category","Change Category"
"Change Price","Change Price"
"Churn Risk","Churn Risk"
"Clear fraud pattern","Clear fraud pattern"
"Clear remaining stock","Clear remaining stock"
"Clear the remaining units","Clear the remaining units"
"Clearance","Clearance"
"Clearly written by a real buyer","Clearly written by a real buyer"
"Collect more or better reviews","Collect more or better reviews"
"Complete","Complete"
"Confidence","Confidence"
"Confirmed Abuse","Confirmed Abuse"
"Consistent data, no red flags","Consistent data, no red flags"
"Consistent","Consistent"
"Content","Content"
"Content, newsletter and reminders","Content, newsletter and reminders"
"Contradictory","Contradictory"
"Conversion Potential","Conversion Potential"
"Correct","Correct"
"Coupon Abuse","Coupon Abuse"
"Coupon","Coupon"
"Create a free account at <a href=""https://console.typesafe.ai/login"" target=""_blank"">console.typesafe.ai</a>, create a token and paste it here. It looks like <code>apikey_&lt;something&gt;</code>. Typesafe gives you 5 US dollars of free credit, which lasts a long time because each Jev call costs a tiny fraction of a cent.<br/>When you save a new key with Jev enabled, the 10 most recent orders and the 10 most recent customers that were never analyzed are analyzed right away.","Create a free account at <a href=""https://console.typesafe.ai/login"" target=""_blank"">console.typesafe.ai</a>, create a token and paste it here. It looks like <code>apikey_&lt;something&gt;</code>. Typesafe gives you 5 US dollars of free credit, which lasts a long time because each Jev call costs a tiny fraction of a cent.<br/>When you save a new key with Jev enabled, the 10 most recent orders and the 10 most recent customers that were never analyzed are analyzed right away."
"Critical Low","Critical Low"
"Critical","Critical"
"Cross Sell","Cross Sell"
"Cross-sell Opportunity","Cross-sell Opportunity"
"Customer Quality","Customer Quality"
"Customer Segment","Customer Segment"
"Customer identity or history","Customer identity or history"
"Customer","Customer"
"Data Consistency","Data Consistency"
"Data leaves no doubt","Data leaves no doubt"
"Dead Stock Risk","Dead Stock Risk"
"Debug Logging","Debug Logging"
"Decrease","Decrease"
"Describes a concrete product problem","Describes a concrete product problem"
"Description Quality","Description Quality"
"Detailed, specific and balanced","Detailed, specific and balanced"
"Device or browser related signals","Device or browser related signals"
"Device","Device"
"Discontinue","Discontinue"
"Discount Opportunity","Discount Opportunity"
"Discount Sensitivity","Discount Sensitivity"
"Discount","Discount"
"Discounts","Discounts"
"Does this product have enough structured information (attributes, description, categories, price, availability) to be correctly recommended by an AI agent?","Does this product have enough structured information (attributes, description, categories, price, availability) to be correctly recommended by an AI agent?"
"Does this product have values for the attributes that matter for its attribute set? Use the lists of filled and empty attributes.","Does this product have values for the attributes that matter for its attribute set? Use the lists of filled and empty attributes."
"Does this review indicate a real problem with the product (defect, wrong description, sizing, quality)?","Does this review indicate a real problem with the product (defect, wrong description, sizing, quality)?"
"Edit or ask the reviewer for changes before publishing","Edit or ask the reviewer for changes before publishing"
"Email","Email"
"Empty or absent","Empty or absent"
"Enable Jev","Enable Jev"
"Engagement","Engagement"
"Entity ID","Entity ID"
"Entity","Entity"
"Escalate","Escalate"
"Established customer, consistent data","Established customer, consistent data"
"Everything needed is in place","Everything needed is in place"
"Excellent","Excellent"
"Excessive","Excessive"
"Far more stock than the sales pace justifies","Far more stock than the sales pace justifies"
"Feature among best sellers","Feature among best sellers"
"Feature as a new arrival","Feature as a new arrival"
"Feature in clearance","Feature in clearance"
"Feature in deals and discounts","Feature in deals and discounts"
"Fields clearly contradict each other","Fields clearly contradict each other"
"Fraud Risk","Fraud Risk"
"Free Shipping","Free Shipping"
"Frequent and very high spending","Frequent and very high spending"
"Frequent, high spending, no problems","Frequent, high spending, no problems"
"Fulfillment Risk","Fulfillment Risk"
"General","General"
"Generic, promotional or spam-like","Generic, promotional or spam-like"
"Gift","Gift"
"Give it more visibility","Give it more visibility"
"Good price or savings","Good price or savings"
"Good","Good"
"Have a person review it before processing","Have a person review it before processing"
"High Value","High Value"
"High value and still fresh, act now","High value and still fresh, act now"
"High","High"
"Highly Sensitive","Highly Sensitive"
"Hold","Hold"
"How easily can an AI shopping agent understand what this product is, who it is for and what makes it different, using only the text data provided?","How easily can an AI shopping agent understand what this product is, who it is for and what makes it different, using only the text data provided?"
"How likely is this customer to return products or ask for refunds? Base it on the share of canceled, closed and refunded orders and credit memos in the customer history.","How likely is this customer to return products or ask for refunds? Base it on the share of canceled, closed and refunded orders and credit memos in the customer history."
"How likely is this review to be genuine? Consider whether the reviewer bought the product, the reviewer history, the writing style and how specific the text is to the product.","How likely is this review to be genuine? Consider whether the reviewer bought the product, the reviewer history, the writing style and how specific the text is to the product."
"How much does this customer depend on discounts to buy? Use the share of orders that used a coupon and the discount amount relative to the total spent.","How much does this customer depend on discounts to buy? Use the share of orders that used a coupon and the discount amount relative to the total spent."
"How useful is this review for other shoppers?","How useful is this review for other shoppers?"
"ID","ID"
"IP address related signals","IP address related signals"
"Image Coverage","Image Coverage"
"Images","Images"
"Immediate attention, very valuable or at serious risk","Immediate attention, very valuable or at serious risk"
"Important content or data is missing","Important content or data is missing"
"Improve Content","Improve Content"
"Improve Positioning","Improve Positioning"
"Improve Reviews","Improve Reviews"
"Incomplete","Incomplete"
"Increase visibility to sell faster","Increase visibility to sell faster"
"Increase","Increase"
"Information that does not inspire confidence","Information that does not inspire confidence"
"Input Tokens","Input Tokens"
"Insufficient","Insufficient"
"Inventory Action","Inventory Action"
"Ip","Ip"
"Is the current stock level adequate? Compare the quantity in stock with the quantities sold in the last 30, 90 and 365 days and the precomputed days of stock left.","Is the current stock level adequate? Compare the quantity in stock with the quantities sold in the last 30, 90 and 365 days and the precomputed days of stock left."
